method,budget,fold,metric,value,mean,std,min,max,n_folds
Random,10,2,mae,0.28975983611648254,,,,,
Random,10,2,r2,0.23208717555910974,,,,,
Random,10,2,expected_loss_gbp,6500.629028921693,,,,,
Random,10,2,coverage_90,0.9659318637274549,,,,,
Random,10,2,msse,0.4874750044614022,,,,,
Random,10,2,n_test,499.0,,,,,
Random,10,2,morans_i,0.7146602798363083,,,,,
Random,10,2,morans_pval,0.001,,,,,
Random,10,2,selection_time_sec,0.0,,,,,
Random,10,2,inference_time_sec,0.0040018558502197266,,,,,
Random,10,2,n_selected,10.0,,,,,
Random,10,2,total_cost,1490.0,,,,,
Random,10,3,rmse,0.5966990239769447,,,,,
Random,10,3,mae,0.41928446591494684,,,,,
Random,10,3,r2,0.13034719403053685,,,,,
Random,10,3,expected_loss_gbp,6521.002421150876,,,,,
Random,10,3,coverage_90,0.8835341365461847,,,,,
Random,10,3,msse,1.0556643512403419,,,,,
Random,10,3,n_test,498.0,,,,,
Random,10,3,morans_i,0.820889262569548,,,,,
Random,10,3,morans_pval,0.001,,,,,
Random,10,3,selection_time_sec,0.0009918212890625,,,,,
Random,10,3,inference_time_sec,0.0030090808868408203,,,,,
Random,10,3,n_selected,10.0,,,,,
Random,10,3,total_cost,1490.0,,,,,
Random,15,1,rmse,0.45859803011085565,,,,,
Random,15,1,mae,0.3486118820905809,,,,,
Random,15,1,r2,0.29207869776290996,,,,,
Random,15,1,expected_loss_gbp,6505.403643076173,,,,,
Random,15,1,coverage_90,0.9535655058043118,,,,,
Random,15,1,msse,0.6526914740191987,,,,,
Random,15,1,n_test,603.0,,,,,
Random,15,1,morans_i,0.7202642598729752,,,,,
Random,15,1,morans_pval,0.001,,,,,
Random,15,1,selection_time_sec,0.0,,,,,
Random,15,1,inference_time_sec,0.004008769989013672,,,,,
Random,15,1,n_selected,15.0,,,,,
Random,15,1,total_cost,2370.0,,,,,
Random,15,2,rmse,0.391830715650626,,,,,
Random,15,2,mae,0.2852090315517878,,,,,
Random,15,2,r2,0.2548586489650254,,,,,
Random,15,2,expected_loss_gbp,6535.740113757913,,,,,
Random,15,2,coverage_90,0.9679358717434869,,,,,
Random,15,2,msse,0.4784771838706942,,,,,
Random,15,2,n_test,499.0,,,,,
Random,15,2,morans_i,0.7131150867103133,,,,,
Random,15,2,morans_pval,0.001,,,,,
Random,15,2,selection_time_sec,0.0,,,,,
Random,15,2,inference_time_sec,0.004001617431640625,,,,,
Random,15,2,n_selected,15.0,,,,,
Random,15,2,total_cost,2370.0,,,,,
Random,15,3,rmse,0.5962220616900533,,,,,
Random,15,3,mae,0.41769371239443287,,,,,
Random,15,3,r2,0.1317369258578135,,,,,
Random,15,3,expected_loss_gbp,6537.974988216083,,,,,
Random,15,3,coverage_90,0.8775100401606426,,,,,
Random,15,3,msse,1.0559113172069727,,,,,
Random,15,3,n_test,498.0,,,,,
Random,15,3,morans_i,0.823933914273871,,,,,
